##['TANGGAL', 'JAM', 'SEQUENCE', 'EMITEN', 'OPEN_PRICE', 'HIGH_PRICE', 'LOW_PRICE', 'CLOSE_PRICE', 'VOLUME', 'VALUE', 'FREQUENCY']
['20200226', '030042', '00002156', 'ICON', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002157', 'IDPR', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002158', 'IGAR', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002159', 'IIKP', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002160', 'IKAI', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002161', 'IKBI', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002162', 'IMAS', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002163', 'IMJS', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002164', 'IMPC', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002165', 'INAF', '00000003000.00', '00000003000.00', '00000003000.00', '00000003000.00', '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002166', 'INAI', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002167', 'INCF', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002168', 'INCI', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002169', 'INCO', '00000003950.00', '00000003950.00', '00000003950.00', '00000003950.00', '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002170', 'INDF', '00000008025.00', '00000008025.00', '00000008025.00', '00000008025.00', '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002171', 'INDR', '00000001175.00', '00000001175.00', '00000001175.00', '00000001175.00', '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002172', 'INDS', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002173', 'INDX', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002174', 'INDY', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002175', 'INKP', '00000010000.00', '00000010000.00', '00000010000.00', '00000010000.00', '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002176', 'INPC', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002177', 'INPC-W', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002178', 'INPP', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002179', 'INRU', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002180', 'INTA', '00000000312.00', '00000000312.00', '00000000312.00', '00000000312.00', '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002181', 'INTA-W', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002182', 'INTD', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002183', 'INTP', '00000022000.00', '00000022000.00', '00000022000.00', '00000022000.00', '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002184', 'INVS', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002185', 'IPOL', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002186', 'ISAT', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002187', 'ISSP', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002188', 'ITMA', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002189', 'ITMG', '00000016700.00', '00000016700.00', '00000016700.00', '00000016700.00', '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002190', 'ITTG', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002191', 'JAWA', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002192', 'JECC', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002193', 'JGLE', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002194', 'JIHD', '00000000570.00', '00000000570.00', '00000000570.00', '00000000570.00', '000000000000', '0000000000000000', '0000000']
